,Ephys t-SNE x,Ephys t-SNE y,Morph t-SNE x,Moprh t-SNE y,Morphoelectric t-SNE x,Morphoelectric t-SNE y
20180828_sample_5,-53.36,-1.12,-22.53,-16.38,-36.06,0.37
20180828_sample_6,-37.09,-13.45,-13.66,-10.83,-29.13,4.36
20180828_sample_7,53.07,-4.33,,,,
20180828_sample_8,42.55,-20.33,,,,
20180829_sample_1,-16.99,28.44,,,,
20180829_sample_2,-12.72,38.46,-19.03,3.15,-11.44,14.78
20180829_sample_3,-19.99,29.67,,,,
20180829_sample_4,-5.0,39.45,,,,
20180829_sample_5,-19.14,27.14,,,,
20180829_sample_6,-11.57,24.75,-9.53,12.6,-9.9,21.12
20180829_sample_7,0.21,22.5,-16.42,3.64,-10.82,8.45
20180829_sample_8,39.93,-18.78,34.43,-14.73,27.85,-16.11
20180830_sample_1,-32.71,2.27,-22.4,-15.19,-33.01,-0.3
20180830_sample_2,-43.78,4.01,,,,
20180830_sample_5,-46.03,-18.34,,,,
20180830_sample_6,-43.74,5.45,,,,
20180904_sample_1,-41.56,-5.95,,,,
20180904_sample_2,-39.53,-15.97,-18.98,-4.88,-34.89,-5.9
20180904_sample_3,-48.25,-5.59,-21.69,-13.32,-31.45,0.82
20180904_sample_4,-34.4,-11.84,-24.94,-2.44,-30.97,-9.68
20180904_sample_5,-45.27,-18.93,-16.0,-14.37,-30.62,2.41
20180904_sample_6,-42.0,10.09,,,,
20180904_sample_7,-37.81,-25.9,-18.36,-3.44,-36.84,-4.1
20180904_sample_9,-36.75,-20.14,-13.81,-7.91,-27.45,1.95
20180905_sample_1,-12.74,24.96,,,,
20180905_sample_2,-14.07,27.72,-19.7,-10.02,-14.85,13.45
20180910_sample_2,-0.28,17.98,,,,
20180910_sample_3,-14.12,28.79,,,,
20180911_sample_1,0.47,26.14,,,,
20180911_sample_2,-16.92,11.47,,,,
20180911_sample_3,-7.5,30.36,-8.13,13.3,-10.68,21.3
20180911_sample_5,-13.17,1.68,,,,
20180911_sample_6,-14.34,34.15,-28.96,-8.58,-12.52,14.25
20180912_sample_2,-40.57,8.94,-14.67,4.78,-28.63,-5.47
20180912_sample_3,-54.19,4.73,,,,
20180912_sample_6,-35.32,-20.69,,,,
20180913_sample_2,2.19,12.1,,,,
20180917_sample_1,-5.01,34.07,,,,
20180917_sample_2,-40.77,3.78,,,,
20180917_sample_3,29.45,-25.32,,,,
20180917_sample_4,-29.37,-16.0,,,,
20180917_sample_5,-15.02,14.49,,,,
20180918_sample_1,-5.12,24.87,-9.7,-4.58,-4.51,8.94
20180918_sample_2,-11.87,38.1,-8.5,-5.38,-7.16,13.45
20180918_sample_3,5.75,-1.03,,,,
20180920_sample_1,-42.69,-0.67,,,,
20180920_sample_2,-48.12,-4.92,-24.14,-4.63,-33.37,-7.9
20180920_sample_3,-45.25,1.59,,,,
20180920_sample_4,-36.72,-9.03,-20.99,-0.93,-35.92,-10.68
20180921_sample_1,-7.09,20.04,,,,
20180921_sample_2,-42.39,3.6,,,,
20180921_sample_3,-43.14,6.22,,,,
20180925_sample_9,-46.05,1.93,-25.34,-3.4,-31.31,-7.65
20180926_sample_1,-42.42,-21.44,-22.81,-5.42,-33.81,-5.02
20180926_sample_3,-43.28,1.09,-22.79,-13.78,-31.72,-0.74
20180926_sample_4,-52.7,0.93,,,,
20180926_sample_7,-41.85,-20.53,-12.67,-13.64,-29.26,2.96
20180926_sample_9,34.99,-29.84,38.06,-16.6,35.08,-16.47
20180927_sample_1,-36.25,-23.35,,,,
20180927_sample_2,-41.69,-1.24,,,,
20180927_sample_3,-38.69,-21.27,,,,
20180927_sample_4,-44.05,-1.49,,,,
20180927_sample_5,-54.88,-0.83,,,,
20180927_sample_7,-46.94,-20.5,,,,
20180927_sample_9,23.95,-16.49,,,,
20180927_sample_10,-35.52,-11.88,,,,
20181002_sample_1,-37.41,7.53,,,,
20181002_sample_2,-42.65,-1.68,,,,
20181002_sample_3,-36.12,-18.08,,,,
20181002_sample_4,-36.07,6.32,,,,
20181002_sample_5,-33.95,-19.13,,,,
20181002_sample_6,-31.25,-9.33,,,,
20181002_sample_7,32.47,-25.16,,,,
20181002_sample_8,-46.66,-0.05,,,,
20181002_sample_9,-31.03,-21.71,,,,
20181002_sample_10,-34.59,-23.12,-21.57,-17.04,-36.76,1.83
20181003_sample_1,-0.4,26.73,,,,
20181003_sample_2,3.8,18.76,,,,
20181003_sample_3,-16.73,29.57,,,,
20181003_sample_4,-11.3,15.42,,,,
20181003_sample_5,-2.34,25.25,,,,
20181003_sample_6,-3.43,11.23,,,,
20181003_sample_7,-15.5,2.51,,,,
20181003_sample_8,-13.81,17.9,-14.49,-11.7,-21.95,10.1
20181003_sample_9,-21.17,-6.54,,,,
20181003_sample_10,-18.33,15.46,,,,
20181004_sample_1,-16.04,29.48,,,,
20181004_sample_3,-8.45,2.62,,,,
20181004_sample_5,-21.07,-6.68,-15.91,-10.02,-26.09,5.44
20181004_sample_6,-9.07,25.08,,,,
20181004_sample_8,-22.39,-2.55,-17.1,-17.84,-35.11,3.78
20181009_sample_2,-8.69,30.41,,,,
20181009_sample_3,-6.71,29.8,-14.52,-10.08,-10.24,12.4
20181009_sample_4,-11.41,13.52,,,,
20181009_sample_5,-16.79,29.04,-15.72,2.57,-12.86,13.02
20181009_sample_6,27.44,-22.58,,,,
20181009_sample_7,-13.48,34.76,-14.67,-10.78,-10.51,12.98
20181010_sample_1,-17.94,28.94,,,,
20181010_sample_3,-17.08,26.6,,,,
20181010_sample_4,-14.91,31.22,,,,
20181010_sample_5,33.26,-18.73,36.0,-17.61,27.89,-14.24
20181010_sample_6,0.77,18.55,,,,
20181010_sample_8,-10.16,19.12,,,,
20181010_sample_10,2.15,36.82,,,,
20181011_sample_3,-33.11,-19.7,-13.95,-7.13,-26.09,1.65
20181011_sample_4,-4.38,40.91,,,,
20181011_sample_8,-16.62,6.81,,,,
20181011_sample_9,-4.93,26.13,,,,
20181011_sample_10,-11.97,16.31,,,,
20181109_sample_1,-7.38,21.43,,,,
20181109_sample_2,-13.59,30.14,,,,
20181109_sample_3,-12.19,26.04,,,,
